,Year,Commodity Group,C03409V04104,Country,UNIT,VALUE
77933,2000,Vegetables and fruit (05),LT,Lithuania,Euro Thousand,86.0
77934,2000,Vegetables and fruit (05),LU,Luxembourg,Euro Thousand,0.0
77935,2000,Vegetables and fruit (05),LV,Latvia,Euro Thousand,0.0
77936,2000,Vegetables and fruit (05),MT,Malta,Euro Thousand,87.0
77937,2000,Vegetables and fruit (05),MX,Mexico,Euro Thousand,0.0
77938,2000,Vegetables and fruit (05),MY,Malaysia,Euro Thousand,0.0
77939,2000,Vegetables and fruit (05),NL,Netherlands,Euro Thousand,5047.0
77940,2000,Vegetables and fruit (05),NO,Norway,Euro Thousand,0.0
77941,2000,Vegetables and fruit (05),PL,Poland,Euro Thousand,43.0
77942,2000,Vegetables and fruit (05),PT,Portugal,Euro Thousand,141.0
77943,2000,Vegetables and fruit (05),RO,Romania,Euro Thousand,172.0
77944,2000,Vegetables and fruit (05),RU,Russia,Euro Thousand,0.0
77945,2000,Vegetables and fruit (05),SA,Saudi Arabia,Euro Thousand,0.0
77946,2000,Vegetables and fruit (05),SE,Sweden,Euro Thousand,1290.0
77947,2000,Vegetables and fruit (05),SG,Singapore,Euro Thousand,0.0
77948,2000,Vegetables and fruit (05),SI,Slovenia,Euro Thousand,0.0
77949,2000,Vegetables and fruit (05),SK,Slovakia,Euro Thousand,0.0
77950,2000,Vegetables and fruit (05),TH,Thailand,Euro Thousand,79.0
77951,2000,Vegetables and fruit (05),TR,Turkey,Euro Thousand,108.0
77952,2000,Vegetables and fruit (05),TW,Taiwan,Euro Thousand,53.0
77953,2000,Vegetables and fruit (05),US,USA,Euro Thousand,363.0
77954,2000,Vegetables and fruit (05),XB,Great Britain,Euro Thousand,129900.0
77955,2000,Vegetables and fruit (05),XI,Northern Ireland,Euro Thousand,25999.0
77956,2000,Vegetables and fruit (05),ZA,South Africa,Euro Thousand,50.0
77957,2000,Vegetables and fruit (05),ZZEU99,EU country not specified,Euro Thousand,6.0
77958,2000,Vegetables and fruit (05),ZZWORX27,Other countries,Euro Thousand,630.0
77959,2000,"Sugar, sugar preparations and honey (06)",AT,Austria,Euro Thousand,909.0
77960,2000,"Sugar, sugar preparations and honey (06)",AU,Australia,Euro Thousand,164.0
77961,2000,"Sugar, sugar preparations and honey (06)",BE,Belgium,Euro Thousand,4276.0
77962,2000,"Sugar, sugar preparations and honey (06)",BG,Bulgaria,Euro Thousand,34.0
77963,2000,"Sugar, sugar preparations and honey (06)",BR,Brazil,Euro Thousand,143.0
77964,2000,"Sugar, sugar preparations and honey (06)",CA,Canada,Euro Thousand,1101.0
77965,2000,"Sugar, sugar preparations and honey (06)",CH,Switzerland,Euro Thousand,741.0
77966,2000,"Sugar, sugar preparations and honey (06)",CN,China,Euro Thousand,96.0
77967,2000,"Sugar, sugar preparations and honey (06)",CY,Cyprus,Euro Thousand,695.0
77968,2000,"Sugar, sugar preparations and honey (06)",CZ,Czech Republic,Euro Thousand,0.0
77969,2000,"Sugar, sugar preparations and honey (06)",DE,Germany,Euro Thousand,12629.0
77970,2000,"Sugar, sugar preparations and honey (06)",DK,Denmark,Euro Thousand,207.0
77971,2000,"Sugar, sugar preparations and honey (06)",EE,Estonia,Euro Thousand,0.0
77972,2000,"Sugar, sugar preparations and honey (06)",ES,Spain,Euro Thousand,72.0
77973,2000,"Sugar, sugar preparations and honey (06)",FI,Finland,Euro Thousand,9.0
77974,2000,"Sugar, sugar preparations and honey (06)",FR,France,Euro Thousand,7611.0
77975,2000,"Sugar, sugar preparations and honey (06)",GR,Greece,Euro Thousand,0.0
77976,2000,"Sugar, sugar preparations and honey (06)",HR,Croatia,Euro Thousand,0.0
77977,2000,"Sugar, sugar preparations and honey (06)",HU,Hungary,Euro Thousand,65.0
77978,2000,"Sugar, sugar preparations and honey (06)",IN,India,Euro Thousand,82.0
77979,2000,"Sugar, sugar preparations and honey (06)",IT,Italy,Euro Thousand,42.0
77980,2000,"Sugar, sugar preparations and honey (06)",JP,Japan,Euro Thousand,364.0
